,ADS_Index,RECBARS
1960:03:01,-0.576052,0
1960:03:02,-0.625469,0
1960:03:03,-0.671723,0
1960:03:04,-0.714831,0
1960:03:05,-0.754812,0
1960:03:06,-0.79168,0
1960:03:07,-0.82545,0
1960:03:08,-0.856137,0
1960:03:09,-0.883751,0
1960:03:10,-0.908305,0
1960:03:11,-0.929807,0
1960:03:12,-0.948266,0
1960:03:13,-0.96369,0
1960:03:14,-0.976084,0
1960:03:15,-0.985455,0
1960:03:16,-0.991804,0
1960:03:17,-0.995135,0
1960:03:18,-0.99545,0
1960:03:19,-0.992748,0
1960:03:20,-0.987028,0
1960:03:21,-0.978287,0
1960:03:22,-0.966524,0
1960:03:23,-0.951732,0
1960:03:24,-0.933906,0
1960:03:25,-0.913039,0
1960:03:26,-0.889123,0
1960:03:27,-0.862147,0
1960:03:28,-0.832102,0
1960:03:29,-0.798976,0
1960:03:30,-0.762755,0
1960:03:31,-0.723424,0
1960:04:01,-0.680969,1
1960:04:02,-0.642018,1
1960:04:03,-0.606555,1
1960:04:04,-0.574567,1
1960:04:05,-0.54604,1
1960:04:06,-0.520963,1
1960:04:07,-0.499327,1
1960:04:08,-0.481122,1
1960:04:09,-0.466342,1
1960:04:10,-0.45498,1
1960:04:11,-0.447032,1
1960:04:12,-0.442496,1
1960:04:13,-0.441368,1
1960:04:14,-0.443649,1
1960:04:15,-0.44934,1
1960:04:16,-0.458443,1
1960:04:17,-0.470961,1
1960:04:18,-0.4869,1
1960:04:19,-0.506265,1
1960:04:20,-0.529065,1
1960:04:21,-0.555308,1
1960:04:22,-0.585006,1
1960:04:23,-0.618168,1
1960:04:24,-0.65481,1
1960:04:25,-0.694945,1
1960:04:26,-0.73859,1
1960:04:27,-0.785761,1
1960:04:28,-0.836478,1
1960:04:29,-0.89076,1
1960:04:30,-0.948629,1
1960:05:01,-1.01011,1
1960:05:02,-1.06917,1
1960:05:03,-1.12582,1
1960:05:04,-1.18011,1
1960:05:05,-1.23204,1
1960:05:06,-1.28164,1
1960:05:07,-1.32892,1
1960:05:08,-1.37391,1
1960:05:09,-1.41662,1
1960:05:10,-1.45707,1
1960:05:11,-1.49528,1
1960:05:12,-1.53126,1
1960:05:13,-1.56502,1
1960:05:14,-1.59658,1
1960:05:15,-1.62596,1
1960:05:16,-1.65315,1
1960:05:17,-1.67818,1
1960:05:18,-1.70106,1
1960:05:19,-1.72178,1
1960:05:20,-1.74037,1
1960:05:21,-1.75683,1
1960:05:22,-1.77116,1
1960:05:23,-1.78337,1
1960:05:24,-1.79347,1
1960:05:25,-1.80146,1
1960:05:26,-1.80734,1
1960:05:27,-1.81111,1
1960:05:28,-1.81278,1
1960:05:29,-1.81235,1
1960:05:30,-1.80981,1
1960:05:31,-1.80517,1
1960:06:01,-1.79843,1
1960:06:02,-1.79098,1
1960:06:03,-1.78283,1
1960:06:04,-1.77397,1
1960:06:05,-1.7644,1
1960:06:06,-1.75412,1
1960:06:07,-1.74311,1
1960:06:08,-1.73139,1
1960:06:09,-1.71893,1
1960:06:10,-1.70574,1
1960:06:11,-1.69182,1
1960:06:12,-1.67715,1
1960:06:13,-1.66173,1
1960:06:14,-1.64555,1
1960:06:15,-1.62861,1
1960:06:16,-1.61091,1
1960:06:17,-1.59243,1
1960:06:18,-1.57316,1
1960:06:19,-1.5531,1
1960:06:20,-1.53225,1
1960:06:21,-1.51059,1
1960:06:22,-1.48811,1
1960:06:23,-1.46481,1
1960:06:24,-1.44067,1
1960:06:25,-1.41569,1
1960:06:26,-1.38986,1
1960:06:27,-1.36316,1
1960:06:28,-1.33559,1
1960:06:29,-1.30714,1
1960:06:30,-1.27778,1
1960:07:01,-1.24752,1
1960:07:02,-1.21819,1
1960:07:03,-1.18978,1
1960:07:04,-1.16228,1
1960:07:05,-1.13567,1
1960:07:06,-1.10995,1
1960:07:07,-1.08511,1
1960:07:08,-1.06112,1
1960:07:09,-1.038,1
1960:07:10,-1.01572,1
1960:07:11,-0.994286,1
1960:07:12,-0.973678,1
1960:07:13,-0.953891,1
1960:07:14,-0.934918,1
1960:07:15,-0.916751,1
1960:07:16,-0.899382,1
1960:07:17,-0.882807,1
1960:07:18,-0.867016,1
1960:07:19,-0.852005,1
1960:07:20,-0.837767,1
1960:07:21,-0.824297,1
1960:07:22,-0.811589,1
1960:07:23,-0.799639,1
1960:07:24,-0.788441,1
1960:07:25,-0.777991,1
1960:07:26,-0.768285,1
1960:07:27,-0.759319,1
1960:07:28,-0.75109,1
1960:07:29,-0.743593,1
1960:07:30,-0.736828,1
1960:07:31,-0.73079,1
1960:08:01,-0.725477,1
1960:08:02,-0.721026,1
1960:08:03,-0.717435,1
1960:08:04,-0.714703,1
1960:08:05,-0.712828,1
1960:08:06,-0.711811,1
1960:08:07,-0.71165,1
1960:08:08,-0.712345,1
1960:08:09,-0.713897,1
1960:08:10,-0.716307,1
1960:08:11,-0.719575,1
1960:08:12,-0.723702,1
1960:08:13,-0.728691,1
1960:08:14,-0.734543,1
1960:08:15,-0.74126,1
1960:08:16,-0.748846,1
1960:08:17,-0.757303,1
1960:08:18,-0.766634,1
1960:08:19,-0.776844,1
1960:08:20,-0.787936,1
1960:08:21,-0.799915,1
1960:08:22,-0.812785,1
1960:08:23,-0.826552,1
1960:08:24,-0.841221,1
1960:08:25,-0.856797,1
1960:08:26,-0.873288,1
1960:08:27,-0.8907,1
1960:08:28,-0.909038,1
1960:08:29,-0.928312,1
1960:08:30,-0.948528,1
1960:08:31,-0.969695,1
1960:09:01,-0.99182,1
1960:09:02,-1.01278,1
1960:09:03,-1.03259,1
1960:09:04,-1.05126,1
1960:09:05,-1.06878,1
1960:09:06,-1.08518,1
1960:09:07,-1.10044,1
1960:09:08,-1.11459,1
1960:09:09,-1.12763,1
1960:09:10,-1.13956,1
1960:09:11,-1.15038,1
1960:09:12,-1.16011,1
1960:09:13,-1.16874,1
1960:09:14,-1.17628,1
1960:09:15,-1.18273,1
1960:09:16,-1.18809,1
1960:09:17,-1.19237,1
1960:09:18,-1.19556,1
1960:09:19,-1.19768,1
1960:09:20,-1.19871,1
1960:09:21,-1.19867,1
1960:09:22,-1.19754,1
1960:09:23,-1.19534,1
1960:09:24,-1.19205,1
1960:09:25,-1.18768,1
1960:09:26,-1.18223,1
1960:09:27,-1.17569,1
1960:09:28,-1.16806,1
1960:09:29,-1.15933,1
1960:09:30,-1.14952,1
1960:10:01,-1.1386,1
1960:10:02,-1.12948,1
1960:10:03,-1.12216,1
1960:10:04,-1.11663,1
1960:10:05,-1.1129,1
1960:10:06,-1.11095,1
1960:10:07,-1.11079,1
1960:10:08,-1.11242,1
1960:10:09,-1.11584,1
1960:10:10,-1.12105,1
1960:10:11,-1.12806,1
1960:10:12,-1.13685,1
1960:10:13,-1.14745,1
1960:10:14,-1.15985,1
1960:10:15,-1.17406,1
1960:10:16,-1.19009,1
1960:10:17,-1.20793,1
1960:10:18,-1.2276,1
1960:10:19,-1.24911,1
1960:10:20,-1.27246,1
1960:10:21,-1.29766,1
1960:10:22,-1.32472,1
1960:10:23,-1.35366,1
1960:10:24,-1.38449,1
1960:10:25,-1.41721,1
1960:10:26,-1.45184,1
1960:10:27,-1.4884,1
1960:10:28,-1.52689,1
1960:10:29,-1.56734,1
1960:10:30,-1.60976,1
1960:10:31,-1.65416,1
1960:11:01,-1.70057,1
1960:11:02,-1.74585,1
1960:11:03,-1.79001,1
1960:11:04,-1.83308,1
1960:11:05,-1.87507,1
1960:11:06,-1.916,1
1960:11:07,-1.95588,1
1960:11:08,-1.99474,1
1960:11:09,-2.03258,1
1960:11:10,-2.06942,1
1960:11:11,-2.10527,1
1960:11:12,-2.14015,1
1960:11:13,-2.17408,1
1960:11:14,-2.20707,1
1960:11:15,-2.23912,1
1960:11:16,-2.27026,1
1960:11:17,-2.30049,1
1960:11:18,-2.32983,1
1960:11:19,-2.35828,1
1960:11:20,-2.38587,1
1960:11:21,-2.4126,1
1960:11:22,-2.43848,1
1960:11:23,-2.46352,1
1960:11:24,-2.48773,1
1960:11:25,-2.51112,1
1960:11:26,-2.53371,1
1960:11:27,-2.55549,1
1960:11:28,-2.57648,1
1960:11:29,-2.59669,1
1960:11:30,-2.61612,1
1960:12:01,-2.63479,1
1960:12:02,-2.65034,1
1960:12:03,-2.66279,1
1960:12:04,-2.67213,1
1960:12:05,-2.67838,1
1960:12:06,-2.68153,1
1960:12:07,-2.68159,1
1960:12:08,-2.67856,1
1960:12:09,-2.67243,1
1960:12:10,-2.6632,1
1960:12:11,-2.65087,1
1960:12:12,-2.63544,1
1960:12:13,-2.61689,1
1960:12:14,-2.59523,1
1960:12:15,-2.57044,1
1960:12:16,-2.54251,1
1960:12:17,-2.51143,1
1960:12:18,-2.47719,1
1960:12:19,-2.43977,1
1960:12:20,-2.39916,1
1960:12:21,-2.35535,1
1960:12:22,-2.30832,1
1960:12:23,-2.25804,1
1960:12:24,-2.20451,1
1960:12:25,-2.14769,1
1960:12:26,-2.08756,1
1960:12:27,-2.0241,1
1960:12:28,-1.95729,1
1960:12:29,-1.8871,1
1960:12:30,-1.8135,1
1960:12:31,-1.73646,1
1961:01:01,-1.65596,1
1961:01:02,-1.57867,1
1961:01:03,-1.50456,1
1961:01:04,-1.43362,1
1961:01:05,-1.3658,1
1961:01:06,-1.30108,1
1961:01:07,-1.23944,1
1961:01:08,-1.18086,1
1961:01:09,-1.1253,1
1961:01:10,-1.07274,1
1961:01:11,-1.02317,1
1961:01:12,-0.976573,1
1961:01:13,-0.932918,1
1961:01:14,-0.892193,1
1961:01:15,-0.854383,1
1961:01:16,-0.819471,1
1961:01:17,-0.787445,1
1961:01:18,-0.75829,1
1961:01:19,-0.731997,1
1961:01:20,-0.708554,1
1961:01:21,-0.687952,1
1961:01:22,-0.670182,1
1961:01:23,-0.655239,1
1961:01:24,-0.643115,1
1961:01:25,-0.633807,1
1961:01:26,-0.62731,1
1961:01:27,-0.623622,1
1961:01:28,-0.622741,1
1961:01:29,-0.624667,1
1961:01:30,-0.629401,1
1961:01:31,-0.636944,1
1961:02:01,-0.647301,1
1961:02:02,-0.655675,1
1961:02:03,-0.66207,1
1961:02:04,-0.666489,1
1961:02:05,-0.668933,1
1961:02:06,-0.669404,1
1961:02:07,-0.667902,1
1961:02:08,-0.664425,1
1961:02:09,-0.658974,1
1961:02:10,-0.651544,1
1961:02:11,-0.642135,1
1961:02:12,-0.630741,1
1961:02:13,-0.617359,1
1961:02:14,-0.601982,1
1961:02:15,-0.584605,1
1961:02:16,-0.565222,1
1961:02:17,-0.543823,1
1961:02:18,-0.520402,1
1961:02:19,-0.494948,1
1961:02:20,-0.467452,1
1961:02:21,-0.437901,1
1961:02:22,-0.406286,1
1961:02:23,-0.372593,1
1961:02:24,-0.336809,1
1961:02:25,-0.29892,1
1961:02:26,-0.25891,1
1961:02:27,-0.216764,1
1961:02:28,-0.172465,1
1961:03:01,-0.125995,0
1961:03:02,-0.080637,0
1961:03:03,-0.0363717,0
1961:03:04,0.00681821,0
1961:03:05,0.0489497,0
1961:03:06,0.0900395,0
1961:03:07,0.130104,0
1961:03:08,0.169159,0
1961:03:09,0.20722,0
1961:03:10,0.244302,0
1961:03:11,0.280421,0
1961:03:12,0.315589,0
1961:03:13,0.349821,0
1961:03:14,0.383131,0
1961:03:15,0.415533,0
1961:03:16,0.447037,0
1961:03:17,0.477659,0
1961:03:18,0.507408,0
1961:03:19,0.536298,0
1961:03:20,0.56434,0
1961:03:21,0.591545,0
1961:03:22,0.617923,0
1961:03:23,0.643485,0
1961:03:24,0.668242,0
1961:03:25,0.692202,0
1961:03:26,0.715376,0
1961:03:27,0.737773,0
1961:03:28,0.759402,0
1961:03:29,0.780271,0
1961:03:30,0.800388,0
1961:03:31,0.819762,0
1961:04:01,0.8384,0
1961:04:02,0.856915,0
1961:04:03,0.875313,0
1961:04:04,0.893602,0
1961:04:05,0.91179,0
1961:04:06,0.929883,0
1961:04:07,0.947889,0
1961:04:08,0.965815,0
1961:04:09,0.983667,0
1961:04:10,1.00145,0
1961:04:11,1.01918,0
1961:04:12,1.03686,0
1961:04:13,1.05449,0
1961:04:14,1.07208,0
1961:04:15,1.08964,0
1961:04:16,1.10718,0
1961:04:17,1.1247,0
1961:04:18,1.14222,0
1961:04:19,1.15972,0
1961:04:20,1.17724,0
1961:04:21,1.19476,0
1961:04:22,1.2123,0
1961:04:23,1.22987,0
1961:04:24,1.24746,0
1961:04:25,1.2651,0
1961:04:26,1.28278,0
1961:04:27,1.30052,0
1961:04:28,1.31831,0
1961:04:29,1.33617,0
1961:04:30,1.35411,0
1961:05:01,1.37212,0
1961:05:02,1.3894,0
1961:05:03,1.40594,0
1961:05:04,1.42176,0
1961:05:05,1.43686,0
1961:05:06,1.45124,0
1961:05:07,1.46492,0
1961:05:08,1.47789,0
1961:05:09,1.49016,0
1961:05:10,1.50175,0
1961:05:11,1.51264,0
1961:05:12,1.52285,0
1961:05:13,1.53238,0
1961:05:14,1.54123,0
1961:05:15,1.54941,0
1961:05:16,1.55693,0
1961:05:17,1.56377,0
1961:05:18,1.56996,0
1961:05:19,1.57548,0
1961:05:20,1.58034,0
1961:05:21,1.58454,0
1961:05:22,1.58809,0
1961:05:23,1.59099,0
1961:05:24,1.59323,0
