index,Predictor_Set,Model,PR_AUC,Brier_Score,Resolution,Reliability,Uncertainty,ROC_AUC,Num_Forecasts
17,Deter,Logit_L1,0.3809,0.1323,0.0157,0.0627,0.0862,0.8502,420
10,PCA_Factors_8,Logit_L2,0.38,0.146,0.0165,0.0775,0.0862,0.8695,420
8,PCA_Factors_8,Logit,0.3698,0.1135,0.0185,0.0456,0.0862,0.8618,420
18,Deter,Logit_L2,0.3646,0.1399,0.0155,0.0701,0.0862,0.8535,420
27,Deter_PCA,XGBoost,0.3632,0.0836,0.0128,0.0109,0.0862,0.7193,420
25,Deter_PCA,Logit_L1,0.3209,0.1807,0.0132,0.1072,0.0862,0.8219,420
6,Full,Logit_L2,0.3113,0.1622,0.0112,0.0888,0.0862,0.8451,420
9,PCA_Factors_8,Logit_L1,0.3106,0.1947,0.0092,0.1198,0.0862,0.8285,420
26,Deter_PCA,Logit_L2,0.2846,0.1519,0.0111,0.0777,0.0862,0.8082,420
22,Deter_States,Logit_L2,0.2822,0.1367,0.0132,0.0628,0.0862,0.8024,420
24,Deter_PCA,Logit,0.2676,0.1405,0.0115,0.0645,0.0862,0.7366,420
23,Deter_States,XGBoost,0.2672,0.1106,0.0103,0.0352,0.0862,0.7117,420
0,Yield,Logit,0.2582,0.1459,0.0174,0.0764,0.0862,0.8055,420
3,Yield,XGBoost,0.2577,0.1491,0.0054,0.0699,0.0862,0.7076,420
1,Yield,Logit_L1,0.256,0.1416,0.015,0.0706,0.0862,0.8047,420
2,Yield,Logit_L2,0.2549,0.1483,0.0155,0.077,0.0862,0.8069,420
11,PCA_Factors_8,XGBoost,0.2545,0.1012,0.0104,0.0264,0.0862,0.7645,420
21,Deter_States,Logit_L1,0.2508,0.1365,0.0099,0.0599,0.0862,0.7588,420
16,Deter,Logit,0.2302,0.144,0.01,0.0674,0.0862,0.7455,420
19,Deter,XGBoost,0.2128,0.1052,0.0085,0.0288,0.0862,0.7341,420
7,Full,XGBoost,0.212,0.12,0.0079,0.0432,0.0862,0.789,420
28,Deter_Avg,Logit,0.1947,0.1866,0.0049,0.1044,0.0862,0.6472,420
20,Deter_States,Logit,0.1869,0.2181,0.0038,0.1357,0.0862,0.6878,420
31,Deter_Avg,XGBoost,0.1746,0.1096,0.0052,0.0291,0.0862,0.661,420
30,Deter_Avg,Logit_L2,0.1685,0.2095,0.0024,0.1258,0.0862,0.6684,420
4,Full,Logit,0.1418,0.3432,0.0028,0.26,0.0862,0.6389,420
29,Deter_Avg,Logit_L1,0.1415,0.2285,0.0044,0.1456,0.0862,0.6742,420
14,ADS,Logit_L2,0.1403,0.2578,0.0023,0.1743,0.0862,0.6474,420
12,ADS,Logit,0.1403,0.258,0.0023,0.1745,0.0862,0.6473,420
13,ADS,Logit_L1,0.1325,0.2573,0.0013,0.1727,0.0862,0.6218,420
15,ADS,XGBoost,0.1298,0.2263,0.0009,0.1416,0.0862,0.5255,420
5,Full,Logit_L1,0.0952,0.25,0.0,0.1638,0.0862,0.5,420
