index,Predictor_Set,Model,PR_AUC,Brier_Score,Resolution,Reliability,Uncertainty,ROC_AUC,Num_Forecasts
18,Deter,Logit_L2,0.5508,0.098,0.0273,0.0397,0.0862,0.8785,420
17,Deter,Logit_L1,0.5033,0.0996,0.0235,0.0375,0.0862,0.8716,420
27,Deter_PCA,XGBoost,0.4329,0.0691,0.0268,0.0096,0.0862,0.7867,420
25,Deter_PCA,Logit_L1,0.4186,0.1655,0.0177,0.0969,0.0862,0.8632,420
26,Deter_PCA,Logit_L2,0.4107,0.1101,0.0203,0.0436,0.0862,0.8562,420
22,Deter_States,Logit_L2,0.4045,0.0903,0.0177,0.0217,0.0862,0.8184,420
7,Full,XGBoost,0.3652,0.0994,0.0183,0.0323,0.0862,0.8153,420
21,Deter_States,Logit_L1,0.3365,0.1214,0.0129,0.0481,0.0862,0.7648,420
28,Deter_Avg,Logit,0.3226,0.1374,0.0117,0.0618,0.0862,0.7536,420
24,Deter_PCA,Logit,0.3181,0.13,0.0123,0.056,0.0862,0.7438,420
20,Deter_States,Logit,0.3118,0.1061,0.0158,0.0362,0.0862,0.7682,420
29,Deter_Avg,Logit_L1,0.3004,0.1778,0.0095,0.1035,0.0862,0.8258,420
10,PCA_Factors_8,Logit_L2,0.2901,0.1042,0.0152,0.0337,0.0862,0.8448,420
19,Deter,XGBoost,0.2882,0.0908,0.0134,0.0188,0.0862,0.7674,420
30,Deter_Avg,Logit_L2,0.2728,0.162,0.012,0.0868,0.0862,0.8064,420
1,Yield,Logit_L1,0.26,0.14,0.016,0.0696,0.0862,0.8142,420
0,Yield,Logit,0.2596,0.1414,0.0162,0.0706,0.0862,0.812,420
2,Yield,Logit_L2,0.259,0.1409,0.0164,0.0712,0.0862,0.8138,420
23,Deter_States,XGBoost,0.2561,0.1081,0.0086,0.0327,0.0862,0.7816,420
11,PCA_Factors_8,XGBoost,0.2366,0.0968,0.0101,0.0219,0.0862,0.7682,420
9,PCA_Factors_8,Logit_L1,0.2366,0.1097,0.0147,0.0363,0.0862,0.8024,420
16,Deter,Logit,0.2364,0.1285,0.0104,0.0539,0.0862,0.7741,420
8,PCA_Factors_8,Logit,0.2194,0.1179,0.009,0.0411,0.0862,0.7775,420
3,Yield,XGBoost,0.2025,0.1366,0.0044,0.0554,0.0862,0.634,420
31,Deter_Avg,XGBoost,0.1937,0.1013,0.0044,0.0207,0.0862,0.7027,420
6,Full,Logit_L2,0.1743,0.1189,0.0113,0.0434,0.0862,0.7561,420
13,ADS,Logit_L1,0.1187,0.249,0.0025,0.1649,0.0862,0.6074,420
14,ADS,Logit_L2,0.1168,0.2477,0.0019,0.1634,0.0862,0.5998,420
12,ADS,Logit,0.1166,0.2478,0.0019,0.1635,0.0862,0.5987,420
4,Full,Logit,0.1093,0.3583,0.0024,0.2746,0.0862,0.5359,420
5,Full,Logit_L1,0.0952,0.25,0.0,0.1638,0.0862,0.5,420
15,ADS,XGBoost,0.0861,0.1356,0.0009,0.0491,0.0862,0.4526,420
