Predictor_Set,Model,C_Value,Avg_Brier_Score,Valid_Predictions,Total_Predictions
TFDI_dis,Logit_L1_C0.001,0.001,0.25,420,420
TFDI_dis,Logit_L1_C0.003,0.003,0.25,420,420
TFDI_dis,Logit_L1_C0.008,0.008,0.17517864543969025,420,420
TFDI_dis,Logit_L1_C0.022,0.022,0.10701597207923767,420,420
TFDI_dis,Logit_L1_C0.060,0.06,0.06158496044897695,420,420
TFDI_dis,Logit_L1_C0.167,0.167,0.03963223239014627,420,420
TFDI_dis,Logit_L1_C0.464,0.464,0.0350911148288997,420,420
TFDI_dis,Logit_L1_C1.292,1.292,0.037672312830464016,420,420
TFDI_dis,Logit_L1_C3.594,3.594,0.044424958286388885,420,420
TFDI_dis,Logit_L1_C10.000,10.0,0.05301898674527895,420,420
