h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,0.25,TFDI_Full_pca,Logit,0.03616169121438437,420,420
1,0.25,TFDI_pca,Logit,0.030631078319594267,420,420
1,0.25,TFDI_avg,Logit,0.04562477536892598,420,420
1,0.35,TFDI_Full_pca,Logit,0.03743782474893144,420,420
1,0.35,TFDI_pca,Logit,0.03732108378520395,420,420
1,0.35,TFDI_avg,Logit,0.05067422889954546,420,420
1,0.45,TFDI_Full_pca,Logit,0.03712213324023079,420,420
1,0.45,TFDI_pca,Logit,0.044850630095757404,420,420
1,0.45,TFDI_avg,Logit,0.06508015764881504,420,420
2,0.25,TFDI_Full_pca,Logit,0.036021458706774256,420,420
2,0.25,TFDI_pca,Logit,0.03545708742396406,420,420
2,0.25,TFDI_avg,Logit,0.04941937892564536,420,420
2,0.35,TFDI_Full_pca,Logit,0.0376261391919946,420,420
2,0.35,TFDI_pca,Logit,0.040254452749692825,420,420
2,0.35,TFDI_avg,Logit,0.052504867224383446,420,420
2,0.45,TFDI_Full_pca,Logit,0.03434134386285592,420,420
2,0.45,TFDI_pca,Logit,0.042459384799506644,420,420
2,0.45,TFDI_avg,Logit,0.06001885131369173,420,420
3,0.25,TFDI_Full_pca,Logit,0.02741255714547917,420,420
3,0.25,TFDI_pca,Logit,0.030189665884329437,420,420
3,0.25,TFDI_avg,Logit,0.049051859094954485,420,420
3,0.35,TFDI_Full_pca,Logit,0.0331600807398327,420,420
3,0.35,TFDI_pca,Logit,0.04069483396420339,420,420
3,0.35,TFDI_avg,Logit,0.053122519938320914,420,420
3,0.45,TFDI_Full_pca,Logit,0.03495710121860665,420,420
3,0.45,TFDI_pca,Logit,0.04164022380491675,420,420
3,0.45,TFDI_avg,Logit,0.06304170648395119,420,420
