Predictor_Set,Model,C_Value,Avg_Brier_Score,Valid_Predictions,Total_Predictions
Deter_States_v2,Logit_L1_C0.001,0.001,0.25,420,420
Deter_States_v2,Logit_L1_C0.003,0.003,0.25,420,420
Deter_States_v2,Logit_L1_C0.008,0.008,0.25,420,420
Deter_States_v2,Logit_L1_C0.022,0.022,0.2434737660607771,420,420
Deter_States_v2,Logit_L1_C0.060,0.06,0.1327539020093684,420,420
Deter_States_v2,Logit_L1_C0.167,0.167,0.10967823343877764,420,420
Deter_States_v2,Logit_L1_C0.464,0.464,0.12806312977677511,420,420
Deter_States_v2,Logit_L1_C1.292,1.292,0.14321081903622057,420,420
Deter_States_v2,Logit_L1_C3.594,3.594,0.14745151101376658,420,420
Deter_States_v2,Logit_L1_C10.000,10.0,0.15394433913093847,420,420
Full,Logit_L1_C0.001,0.001,0.25,420,420
Full,Logit_L1_C0.003,0.003,0.25,420,420
Full,Logit_L1_C0.008,0.008,0.22451115475712555,420,420
Full,Logit_L1_C0.022,0.022,0.1861322792736922,420,420
Full,Logit_L1_C0.060,0.06,0.13724025979665203,420,420
Full,Logit_L1_C0.167,0.167,0.12843639473235868,420,420
Full,Logit_L1_C0.464,0.464,0.1334784477740161,420,420
Full,Logit_L1_C1.292,1.292,0.15284091684549833,420,420
Full,Logit_L1_C3.594,3.594,0.1863438297577569,420,420
Full,Logit_L1_C10.000,10.0,0.2029314999017049,420,420
PCA_Factors_8,Logit_L1_C0.001,0.001,0.25,420,420
PCA_Factors_8,Logit_L1_C0.003,0.003,0.24500021805970634,420,420
PCA_Factors_8,Logit_L1_C0.008,0.008,0.21831671769321442,420,420
PCA_Factors_8,Logit_L1_C0.022,0.022,0.18396821230415278,420,420
PCA_Factors_8,Logit_L1_C0.060,0.06,0.1265258278959967,420,420
PCA_Factors_8,Logit_L1_C0.167,0.167,0.11044912266342766,420,420
PCA_Factors_8,Logit_L1_C0.464,0.464,0.10557963179914347,420,420
PCA_Factors_8,Logit_L1_C1.292,1.292,0.10408514849498511,420,420
PCA_Factors_8,Logit_L1_C3.594,3.594,0.10358048967655999,420,420
PCA_Factors_8,Logit_L1_C10.000,10.0,0.10340604992849779,420,420
